pubukprn,kismode,mytarsbj,title,kisaimcode,crseurl,legal_name,provaddress,A*A*A*A* and above,A*A*AC and above,A*A*A and above,AAA and above,ABB and above,BBC and above,CCC and above,Below CCC
10000961,01,CAH15-01,Human Geography and Anthropology with Placements,021,https://www.brunel.ac.uk/study/undergraduate/human-geography-and-anthropology-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,5,5,15,20,15,45
10000961,01,CAH26-01,Human Geography and Anthropology with Placements,021,https://www.brunel.ac.uk/study/undergraduate/human-geography-and-anthropology-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,0,10,10,10,40,35
10000961,01,CAH15-01,Human Geography and Anthropology,021,https://www.brunel.ac.uk/study/undergraduate/human-geography-and-anthropology-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,5,5,15,20,15,45
10000961,01,CAH26-01,Human Geography and Anthropology,021,https://www.brunel.ac.uk/study/undergraduate/human-geography-and-anthropology-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,0,10,10,10,40,35
10000961,01,CAH15-01,Human Geography and Anthropology with Placement Year,021,https://www.brunel.ac.uk/study/undergraduate/human-geography-and-anthropology-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,5,5,15,20,15,45
10000961,01,CAH26-01,Human Geography and Anthropology with Placement Year,021,https://www.brunel.ac.uk/study/undergraduate/human-geography-and-anthropology-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,0,10,10,10,40,35
10000961,01,NA,Computer Systems Engineering,008,https://www.brunel.ac.uk/study/undergraduate/computer-systems-engineering-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,20,0,15,15,30,10
10000961,01,CAH10-01-08,Computer Systems Engineering with Placement Year,008,https://www.brunel.ac.uk/study/undergraduate/computer-systems-engineering-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,5,20,5,15,20,20,10
10000961,01,CAH20-01-01,History,000,https://www.brunel.ac.uk/study/undergraduate/history-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,10,0,25,15,15,25,10
10000961,01,CAH20-01-01,History with Placement Year,000,https://www.brunel.ac.uk/study/undergraduate/history-ba,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,10,0,25,15,15,25,10
10000961,01,NA,Biomedical Sciences (Biochemistry),021,https://www.brunel.ac.uk/study/undergraduate/biomedical-sciences-biochemistry-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,10,25,40,10,10
10000961,01,NA,Biomedical Sciences (Biochemistry) with Placement Year,021,https://www.brunel.ac.uk/study/undergraduate/biomedical-sciences-biochemistry-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",5,0,5,10,20,10,20,30
10000961,01,NA,Psychology,021,https://www.brunel.ac.uk/study/undergraduate/psychology-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,5,8,17,23,27,20
10000961,01,NA,Psychology with Placement Year,021,https://www.brunel.ac.uk/study/undergraduate/psychology-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,5,15,5,30,35,5
10000961,01,NA,Psychology with Placements,021,https://www.brunel.ac.uk/study/undergraduate/psychology-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,0,5,20,25,30,20
10000961,01,NA,"Psychology (Sport, Health and Exercise)",021,https://www.brunel.ac.uk/study/undergraduate/psychology-sport-health-and-exercise-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,20,15,10,35,10,10
10000961,01,CAH04-01-02,"Psychology (Sport, Health and Exercise) with Placement Year",021,https://www.brunel.ac.uk/study/undergraduate/psychology-sport-health-and-exercise-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,15,20,15,30,10,10
10000961,01,CAH04-01-02,"Psychology (Sport, Health and Exercise) with Placements",021,https://www.brunel.ac.uk/study/undergraduate/psychology-sport-health-and-exercise-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,15,20,15,30,10,10
10000961,01,CAH10-01-04,Aerospace Engineering - integrated,056,http://www.brunel.ac.uk/study/undergraduate/Aerospace-Engineering-MEng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,20,20,20,15,5
10000961,01,CAH10-01-04,Aerospace Engineering - integrated with Placement Year,056,http://www.brunel.ac.uk/study/undergraduate/Aerospace-Engineering-MEng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,10,20,20,20,15,5
10000961,01,NA,Biomedical Sciences,021,https://www.brunel.ac.uk/study/undergraduate/biomedical-sciences-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",1,1,10,17,11,17,21,16
10000961,01,NA,Biomedical Sciences with Placement Year,021,https://www.brunel.ac.uk/study/undergraduate/biomedical-sciences-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,35,10,10,30,5,10
10000961,01,NA,Life Sciences,021,https://www.brunel.ac.uk/study/undergraduate/life-sciences-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,0,40,10,10,20,20
10000961,01,NA,Life Sciences with Placement Year,021,https://www.brunel.ac.uk/study/undergraduate/life-sciences-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,20,30,30,15,5,0
10000961,01,CAH15-03-01,International Relations and History,021,https://www.brunel.ac.uk/study/undergraduate/international-relations-and-history-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,5,10,0,15,15,20,25
10000961,01,CAH15-03-01,International Relations and History with Placement Year,021,https://www.brunel.ac.uk/study/undergraduate/international-relations-and-history-bsc,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,5,10,0,15,15,20,25
10000961,01,CAH10-01-08,Electronic and Electrical Engineering,008,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,5,20,5,15,20,20,10
10000961,01,CAH10-01-08,Electronic and Electrical Engineering with Placement Year,008,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,5,20,5,15,20,20,10
10000961,01,CAH10-01-07,Civil Engineering (Environmental Engineering),008,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-environmental-engineering-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,40,0,20,15,20,0
10000961,01,CAH10-01-07,Civil Engineering (Environmental Engineering) - integrated with Placement Year,008,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-environmental-engineering-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,40,0,20,15,20,0
10000961,01,CAH10-01-07,Civil Engineering (Environmental Engineering),056,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-environmental-engineering-meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,40,0,20,15,20,0
10000961,01,CAH10-01-07,Civil Engineering (Environmental Engineering) - integrated with Placement Year,056,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-environmental-engineering-meng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,40,0,20,15,20,0
10000961,01,CAH10-01-08,Electronic and Electrical Engineering (Artificial Intelligence),008,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-artificial-intelligence-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,5,20,5,15,20,20,10
10000961,01,CAH10-01-08,Electronic and Electrical Engineering (Artificial Intelligence) with Professional Development,008,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-artificial-intelligence-beng,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,5,20,5,15,20,20,10
10000961,01,CAH09-01,Financial Mathematics - integrated,064,https://www.brunel.ac.uk/study/undergraduate/financial-mathematics-mmath,Brunel University London,"Kingston Lane, Uxbridge, Middlesex, UB8 3PH",0,0,2,2,14,14,25,43
